file_name,file_hash,size_bytes,encoding,separator,sheet_names,uploaded_by,uploaded_at,status,duplicate_of
2024-07_compras.csv,5d546fbda0c91f32b43ca753139202c7c14d5bea12b5df2688abeaad92d700c6,8592,utf-8-sig,;,(),demo.user@asteria.example,2026-07-18T02:47:10.329716+00:00,received,
2024-07_finanzas.csv,f2ed96dea3db4ac965a625858b7f1eb6d4d3514ede833a3dcc885494c76dae89,8840,utf-8-sig,;,(),demo.user@asteria.example,2026-07-18T02:47:10.393554+00:00,received,
2024-07_operaciones.csv,7779068fad7387af8ed10f5a0609e93c580a959059a83d627ab683289c4798d1,8613,utf-8-sig,;,(),demo.user@asteria.example,2026-07-18T02:47:10.455381+00:00,received,
2024-07_ventas.csv,c1bc02ce02553b03818cb55e39a9ba9f6823bb0e35a6e16c2bf06ebe387e3ac0,8186,utf-8-sig,;,(),demo.user@asteria.example,2026-07-18T02:47:10.495275+00:00,received,
2024-08_compras.csv,42737e82c8d35ea1ece6615cedcd494aff54aead7697447439c542de779c7b3e,8787,utf-8-sig,",",(),demo.user@asteria.example,2026-07-18T02:47:10.550127+00:00,received,
2024-08_finanzas.csv,6d16dd86eb4975699ac8728a29798e31f16c489bfbb3a67b10a6f62a5aac6f3d,8893,utf-8-sig,",",(),demo.user@asteria.example,2026-07-18T02:47:10.605979+00:00,received,
2024-08_operaciones.csv,87cc3416ac895aba5ef1259df99509df5c6d103daea3cd8038b0e0dee9dfad08,8672,utf-8-sig,",",(),demo.user@asteria.example,2026-07-18T02:47:10.658838+00:00,received,
2024-08_ventas.csv,6c45a57fe9be097a2392d60f15bb8a85b5f33a96519dc06a51015744462bb7fa,8135,utf-8-sig,",",(),demo.user@asteria.example,2026-07-18T02:47:10.709701+00:00,received,
2024-09_compras.csv,9685434604a0db6437a35af8c57ab774f50254818d62413c941d18cd8b2e960f,8717,utf-8-sig,",",(),demo.user@asteria.example,2026-07-18T02:47:10.804448+00:00,received,
2024-09_finanzas.csv,5d60f7ecf272052866b7d85f6a887b08639bc010b8967fb3ce185527c91aebb7,8830,utf-8-sig,",",(),demo.user@asteria.example,2026-07-18T02:47:10.873265+00:00,received,
2024-09_operaciones.csv,eb646c4c027991b3dd805469a6ccca7df86dbcc4854e699d7ae4dc680034ced9,8784,utf-8-sig,",",(),demo.user@asteria.example,2026-07-18T02:47:10.944075+00:00,received,
2024-09_ventas.csv,eaf9f14a5472e204e3aeeadbe768542216744ffc948336be61589d53ad899cc4,8137,utf-8-sig,",",(),demo.user@asteria.example,2026-07-18T02:47:11.003914+00:00,received,
2024-10_compras.csv,1ad19f1edeadabf7c8c5106b7d39f96c3eac0230f626b8107e912a011d1e0cc6,8674,utf-8-sig,",",(),demo.user@asteria.example,2026-07-18T02:47:11.078714+00:00,received,
2024-10_finanzas.csv,cbed0bedda5ed2f14710a76ee702a10386664a2548715213a35332feb81441cd,8903,utf-8-sig,",",(),demo.user@asteria.example,2026-07-18T02:47:11.153515+00:00,received,
2024-10_operaciones.csv,cdc68b32eb896cf8209e8aaf5ecef71855b9f9f7cc28587cd4b6ba73613aff5c,8687,utf-8-sig,",",(),demo.user@asteria.example,2026-07-18T02:47:11.208367+00:00,received,
2024-10_ventas.csv,9e04cf2dc931cf3e5f4f6181354c1aa61a837cea8e10b78717d0a020b7732ca3,8089,utf-8-sig,",",(),demo.user@asteria.example,2026-07-18T02:47:11.249260+00:00,received,
2024-11_compras.csv,4976deca1dca063f7d688c19869161c38c41c22fa75679abea85e74912f46617,8727,utf-8-sig,;,(),demo.user@asteria.example,2026-07-18T02:47:11.301119+00:00,received,
2024-11_finanzas.csv,0d072bdc1b7324adbbf26d1b12536a8d4d55993d84a1ac0c6e12202a0031f311,8951,utf-8-sig,;,(),demo.user@asteria.example,2026-07-18T02:47:11.351983+00:00,received,
2024-11_operaciones.csv,53bdcf2a461f1e7d3d7b7a4f34e2d975bdf75cf40a1a690e88199b32947315d4,8707,utf-8-sig,;,(),demo.user@asteria.example,2026-07-18T02:47:11.401850+00:00,received,
2024-11_ventas.csv,f3576dc9e48bb7f41f34771db809b1aedef7bd8eb8a81eca40ad2dbd3387cf05,8216,utf-8-sig,;,(),demo.user@asteria.example,2026-07-18T02:47:11.449723+00:00,received,
2024-12_compras.csv,762e9f238a5468f3a4323089016b7e6ec7f87b9dfec8d1ad17b2d67ada9b34d5,8699,utf-8-sig,",",(),demo.user@asteria.example,2026-07-18T02:47:11.504575+00:00,received,
