run_id,source_file,user,started_at,completed_at,processing_time_ms,rows_received,rows_accepted,rows_rejected,quality_score,status
14b60ce7-b484-4e15-a296-3ef962761bbd,2024-07_compras.csv,demo.user@asteria.example,2026-07-18T02:47:10.332710+00:00,2026-07-18T02:47:10.372603+00:00,70,95,94,1,99.98,completed
bd31d32f-ed9b-447a-9a80-0a4dccee79e6,2024-07_finanzas.csv,demo.user@asteria.example,2026-07-18T02:47:10.395545+00:00,2026-07-18T02:47:10.432443+00:00,59,96,94,2,99.77,completed
89d1ef84-b294-4731-b33e-00316f7d77b4,2024-07_operaciones.csv,demo.user@asteria.example,2026-07-18T02:47:10.456380+00:00,2026-07-18T02:47:10.490291+00:00,52,95,95,0,100.0,completed
ca72608b-e450-45f9-aa6c-5785ce38a1b2,2024-07_ventas.csv,demo.user@asteria.example,2026-07-18T02:47:10.496275+00:00,2026-07-18T02:47:10.537162+00:00,46,97,95,2,99.59,completed
f142464a-0af0-4de6-b61b-5edd9a7b1cde,2024-08_compras.csv,demo.user@asteria.example,2026-07-18T02:47:10.552124+00:00,2026-07-18T02:47:10.592016+00:00,53,96,94,2,99.77,completed
5b5384eb-2ebd-4b17-b9b4-f722d76c7a4c,2024-08_finanzas.csv,demo.user@asteria.example,2026-07-18T02:47:10.607974+00:00,2026-07-18T02:47:10.645871+00:00,52,95,95,0,100.0,completed
6e246921-7e79-4867-8816-5fa818311669,2024-08_operaciones.csv,demo.user@asteria.example,2026-07-18T02:47:10.660832+00:00,2026-07-18T02:47:10.704714+00:00,57,95,95,0,100.0,completed
26af7251-dcb5-4ec2-af4c-226e52e95386,2024-08_ventas.csv,demo.user@asteria.example,2026-07-18T02:47:10.711697+00:00,2026-07-18T02:47:10.778518+00:00,72,95,94,1,99.98,completed
24cedf1b-8dc4-4e35-840f-84c1069a01b4,2024-09_compras.csv,demo.user@asteria.example,2026-07-18T02:47:10.806443+00:00,2026-07-18T02:47:10.852320+00:00,72,95,95,0,100.0,completed
95bd5049-977f-4c7e-b7b6-9ff2b4429035,2024-09_finanzas.csv,demo.user@asteria.example,2026-07-18T02:47:10.875264+00:00,2026-07-18T02:47:10.925126+00:00,72,95,94,1,99.98,completed
e39616b1-f860-4a76-a409-d3b0fa80d02d,2024-09_operaciones.csv,demo.user@asteria.example,2026-07-18T02:47:10.946069+00:00,2026-07-18T02:47:10.996934+00:00,69,96,93,3,99.61,completed
4f195888-82aa-4558-8dad-b902123cdab9,2024-09_ventas.csv,demo.user@asteria.example,2026-07-18T02:47:11.005910+00:00,2026-07-18T02:47:11.059766+00:00,62,95,94,1,99.84,completed
7a3cdffd-ab5e-47df-af66-1f4dcc44f173,2024-10_compras.csv,demo.user@asteria.example,2026-07-18T02:47:11.079713+00:00,2026-07-18T02:47:11.138555+00:00,77,95,94,1,99.74,completed
9fbdab63-0e43-439b-9a76-73d5fb67dced,2024-10_finanzas.csv,demo.user@asteria.example,2026-07-18T02:47:11.155516+00:00,2026-07-18T02:47:11.193408+00:00,53,95,95,0,100.0,completed
f52ca5e9-b195-465e-b0ae-c32258b18a7a,2024-10_operaciones.csv,demo.user@asteria.example,2026-07-18T02:47:11.209366+00:00,2026-07-18T02:47:11.245270+00:00,51,95,94,1,99.98,completed
0b3f2e53-4780-4710-9be9-d25b04d0aed1,2024-10_ventas.csv,demo.user@asteria.example,2026-07-18T02:47:11.251253+00:00,2026-07-18T02:47:11.287157+00:00,40,95,95,0,100.0,completed
639bfc36-2dfe-4f7e-9e39-3a02b4231819,2024-11_compras.csv,demo.user@asteria.example,2026-07-18T02:47:11.302116+00:00,2026-07-18T02:47:11.337024+00:00,49,95,95,0,100.0,completed
12d2aeb8-2393-49e5-bd39-4c2b177e2c42,2024-11_finanzas.csv,demo.user@asteria.example,2026-07-18T02:47:11.353985+00:00,2026-07-18T02:47:11.386891+00:00,49,95,95,0,100.0,completed
e12f927f-5680-4058-a2b3-2f5c75295a84,2024-11_operaciones.csv,demo.user@asteria.example,2026-07-18T02:47:11.402850+00:00,2026-07-18T02:47:11.436759+00:00,48,95,95,0,100.0,completed
0b7adc43-f9fc-4778-bc5a-fbcfd616956c,2024-11_ventas.csv,demo.user@asteria.example,2026-07-18T02:47:11.451717+00:00,2026-07-18T02:47:11.481636+00:00,44,95,95,0,100.0,completed
87bb2234-4c1c-4179-b899-188e90b993aa,2024-12_compras.csv,demo.user@asteria.example,2026-07-18T02:47:11.506571+00:00,2026-07-18T02:47:11.555440+00:00,72,95,95,0,100.0,completed
e34c54d8-2a31-48dc-aa16-5308419782ae,2024-12_finanzas.csv,demo.user@asteria.example,2026-07-18T02:47:11.588353+00:00,2026-07-18T02:47:11.635228+00:00,78,95,95,0,100.0,completed
032e17c4-0de3-4745-a14e-19f709dbcaea,2024-12_operaciones.csv,demo.user@asteria.example,2026-07-18T02:47:11.663157+00:00,2026-07-18T02:47:11.709031+00:00,72,95,94,1,99.84,completed
69151645-e849-4ce1-829f-c0e57ebd9d53,2024-12_ventas.csv,demo.user@asteria.example,2026-07-18T02:47:11.718005+00:00,2026-07-18T02:47:11.774853+00:00,64,95,94,1,99.74,completed
55c9a7e6-eac4-4377-89fb-9d850a75194d,2025-01_compras.csv,demo.user@asteria.example,2026-07-18T02:47:11.797791+00:00,2026-07-18T02:47:11.868603+00:00,92,95,93,2,99.95,completed
fc18621d-6df3-4411-8c87-d21661a804a9,2025-01_finanzas.csv,demo.user@asteria.example,2026-07-18T02:47:11.891541+00:00,2026-07-18T02:47:11.954374+00:00,84,95,93,2,99.71,completed
3b07ea33-78b8-4fcc-a094-cca45aa213f9,2025-01_operaciones.csv,demo.user@asteria.example,2026-07-18T02:47:11.974320+00:00,2026-07-18T02:47:12.019201+00:00,63,95,95,0,100.0,completed
7e7d71bd-88fc-4eec-854f-212d0ef133f3,2025-01_ventas.csv,demo.user@asteria.example,2026-07-18T02:47:12.026187+00:00,2026-07-18T02:47:12.064082+00:00,43,95,95,0,100.0,completed
17213686-e02f-4dab-a609-94973e1cb7ca,2025-02_compras.csv,demo.user@asteria.example,2026-07-18T02:47:12.088015+00:00,2026-07-18T02:47:12.137883+00:00,73,95,92,3,99.56,completed
8c5feb3e-71a5-4617-a408-80890e9a0df6,2025-02_finanzas.csv,demo.user@asteria.example,2026-07-18T02:47:12.156832+00:00,2026-07-18T02:47:12.198720+00:00,59,95,95,0,100.0,completed
6de47720-580d-4949-840f-ef71edb5ca85,2025-02_operaciones.csv,demo.user@asteria.example,2026-07-18T02:47:12.218667+00:00,2026-07-18T02:47:12.250583+00:00,50,95,95,0,100.0,completed
d52d001e-a40e-4562-8570-4566e812d9b1,2025-02_ventas.csv,demo.user@asteria.example,2026-07-18T02:47:12.255567+00:00,2026-07-18T02:47:12.277509+00:00,26,95,95,0,100.0,completed
127674b5-ddaf-483a-94ba-2abaae5ef296,2025-03_compras.csv,demo.user@asteria.example,2026-07-18T02:47:12.290474+00:00,2026-07-18T02:47:12.318400+00:00,40,95,94,1,99.84,completed
ce6a2e04-2531-4644-9347-3731fb0ca0e1,2025-03_finanzas.csv,demo.user@asteria.example,2026-07-18T02:47:12.331365+00:00,2026-07-18T02:47:12.361286+00:00,41,95,93,2,99.71,completed
81f3ecbd-c0e0-4962-9df5-4547d689848f,2025-03_operaciones.csv,demo.user@asteria.example,2026-07-18T02:47:12.374349+00:00,2026-07-18T02:47:12.397288+00:00,35,95,95,0,100.0,completed
0d7966ba-9924-4b7c-8177-e0d9ac24c463,2025-03_ventas.csv,demo.user@asteria.example,2026-07-18T02:47:12.410297+00:00,2026-07-18T02:47:12.439176+00:00,41,96,94,2,99.53,completed
7c248af8-8faa-4b49-b751-3454f8916ba2,2025-04_compras.csv,demo.user@asteria.example,2026-07-18T02:47:12.453140+00:00,2026-07-18T02:47:12.492036+00:00,51,96,95,1,99.79,completed
23ab68f0-90da-4e6f-84e5-0258232102c6,2025-04_finanzas.csv,demo.user@asteria.example,2026-07-18T02:47:12.506996+00:00,2026-07-18T02:47:12.535918+00:00,43,95,95,0,100.0,completed
89cbb5de-7317-4b60-9886-3343b928d09b,2025-04_operaciones.csv,demo.user@asteria.example,2026-07-18T02:47:12.550878+00:00,2026-07-18T02:47:12.590771+00:00,53,95,92,3,99.69,completed
37320b68-8986-405c-9e15-391ce5b7e9d2,2025-04_ventas.csv,demo.user@asteria.example,2026-07-18T02:47:12.604732+00:00,2026-07-18T02:47:12.651610+00:00,60,97,95,2,99.59,completed
a1e2a814-84e6-47c6-bfe6-558c7517e380,2025-05_compras.csv,demo.user@asteria.example,2026-07-18T02:47:12.671557+00:00,2026-07-18T02:47:12.709454+00:00,56,95,94,1,99.98,completed
4bbc253d-7125-4ab9-9fdd-88e4126dc06b,2025-05_finanzas.csv,demo.user@asteria.example,2026-07-18T02:47:12.733389+00:00,2026-07-18T02:47:12.772287+00:00,61,95,95,0,100.0,completed
5a000860-9563-4ac1-8a6a-8a303fe9e8cc,2025-05_operaciones.csv,demo.user@asteria.example,2026-07-18T02:47:12.794228+00:00,2026-07-18T02:47:12.830135+00:00,56,95,95,0,100.0,completed
4f2a4c6b-b1a3-45ad-b93c-96820b406ff1,2025-05_ventas.csv,demo.user@asteria.example,2026-07-18T02:47:12.838109+00:00,2026-07-18T02:47:12.873016+00:00,41,95,95,0,100.0,completed
a2d9007f-ad48-49da-b681-85a6a0ff83b7,2025-06_compras.csv,demo.user@asteria.example,2026-07-18T02:47:12.885981+00:00,2026-07-18T02:47:12.912909+00:00,39,95,94,1,99.84,completed
